OBJECTID,JURISDCTN,DISTRICT,POLICEZONE,SHAPEAREA,SHAPELEN
1,Speedway,Excluded,Excluded,131612373.770875,76214.4740741568
2,Lawrence,Excluded,Excluded,565153686.160305,132999.106388501
3,IMPD,North,ND70,627461833.066042,170676.18897615
4,IMPD,Northwest,NW10,63895978.2352264,59211.0263846531
5,IMPD,North,ND15,12876946.9985102,20459.4302513023
6,IMPD,North,ND16,23788160.983448,22167.4346666147
7,IMPD,Southwest,SW80,268416601.787156,68440.0064587812
8,IMPD,Downtown,DT10,25720150.1658679,40990.2143662641
9,IMPD,Downtown,DT20,19744013.8228808,32389.4097096833
10,IMPD,Southeast,SE50,343061754.801614,74826.6523567348
11,Cumberland,Excluded,Excluded,21472854.7176261,23368.0831384038
12,IMPD,Northeast,NE26,20601275.425332,19024.6601017744
13,IMPD,Southwest,SW15,49029546.7194589,31104.5500279455
14,IMPD,Downtown,DT35,5450863.1617509,10181.361257815
15,IMPD,Northwest,NW35,24814638.268003,27433.7294243023
16,IMPD,Downtown,DT25,6464307.7037816,12051.1717651613
17,Marian University,Excluded,Excluded,5251098.03015047,11621.4465487701
18,Butler University,Excluded,Excluded,13660093.2780525,22158.1993458985
19,IMPD,Southeast,SE30,281018911.214819,78103.4627015073
20,IMPD,Southwest,SW20,146877502.007398,55963.027245064
21,IMPD,Southeast,SE40,1282992502.9818,147274.995522689
22,IMPD,Northeast,NE60,538447055.171401,110711.764425807
23,IMPD,Northeast,NE30,177279091.108151,90147.3630742923
24,IMPD,Southeast,SE15,14121638.4556596,15879.0077270517
25,IMPD,Northeast,NE35,36106785.7017579,25340.5395968949
26,IMPD,Northeast,NE25,21225510.1426326,20027.7050950607
27,IMPD,Southwest,SW75,66029114.4872437,43675.4403853343
28,IMPD,Northeast,NE50,200957348.5558,68643.0771511786
29,IMPD,Northwest,NW70,436452933.446376,115925.605033925
30,IUPUI,Excluded,Excluded,14653248.374085,27522.8583666269
31,IMPD,Northeast,NE20,43207385.4485806,50126.8289449166
32,IMPD,Downtown,DT40,21969609.5630477,22121.1607671059
33,IMPD,Southwest,SW70,792960289.551949,159744.337200256
34,IMPD,North,ND25,44716835.1269086,33497.4826740087
35,IMPD,Northeast,NE75,28429886.9621074,27471.1429245545
36,IMPD,Northwest,NW25,19731004.5070251,22069.4913826716
37,IMPD,Northeast,NE15,12010944.2886534,21351.3352607002
38,IMPD,North,ND55,9651318.12798542,13344.7310466624
39,IMPD,Downtown,DT30,21977146.2264325,28535.7187549992
40,IMPD,Southeast,SE20,146788314.352448,54210.2807840515
41,IMPD,Southwest,SW50,648215386.124258,113567.391449132
42,IMPD,North,ND60,660458961.889617,155924.214381157
43,IMPD,North,ND20,76052229.5183691,75133.0617871947
44,IMPD,Northwest,NW15,40860603.2685489,30705.7351609123
45,IMPD,Northwest,NW16,39439334.8283496,30821.5509997139
46,IMPD,North,ND75,37171656.2423882,28579.3366835003
47,IMPD,Northeast,NE70,189340854.013345,83749.3700310607
48,IMPD,Northwest,NW60,398875377.219197,102222.679294854
49,IMPD,North,ND30,187878661.022866,73637.2351179952
50,IMPD,Northwest,NW80,621833933.90694,112925.157538518
51,IMPD,Northwest,NW20,117761751.885999,66952.6827699114
52,IMPD,Southwest,SW60,206737592.309707,82542.1383473818
53,IMPD,Northwest,NW30,75801657.2813576,34605.0843293
54,IMPD,Northeast,NE10,124260997.347393,71378.2460405721
55,IMPD,North,ND10,112291294.695001,86604.0350718028
56,IMPD,North,ND50,395610319.144674,125298.542486374
57,Beech Grove,Excluded,Excluded,122747268.868505,64593.3168471952
58,Airport Authority,Excluded,Excluded,220020516.51684,69856.3585814972
59,IMPD,Southeast,SE10,297763074.413139,92187.3834140783
60,IMPD,Southwest,SW10,73884286.3193042,54889.3495472679
